time,open,high,low,close,tick_volume,spread,real_volume
1779382800,5046.24,5050.27,5046.24,5047.247,6990,1,26339
1779383700,5047.751,5048.255,5045.232,5047.247,2591,1,11777
1779384600,5047.751,5052.284,5047.247,5050.773,3809,1,17730
1779385500,5051.277,5052.788,5049.766,5050.27,2818,1,13847
1779386400,5050.27,5054.803,5049.262,5053.292,3096,1,12337
1779387300,5053.292,5055.307,5049.262,5052.788,2733,1,12012
1779440400,5059.337,5064.374,5050.27,5052.788,31750,1,112924
1779441300,5052.788,5056.818,5045.736,5053.796,27669,1,88679
1779442200,5054.299,5064.877,5053.292,5059.337,20581,1,68829
1779443100,5058.833,5059.84,5040.699,5042.21,29391,1,108146
1779444000,5042.21,5053.292,5041.203,5049.262,37043,1,133415
1779444900,5049.262,5054.803,5048.255,5052.284,22491,1,76250
1779445800,5052.284,5057.322,5050.27,5056.314,29491,1,102468
1779446700,5056.818,5061.351,5047.751,5051.781,27130,1,103340
1779447600,5051.781,5066.892,5051.781,5066.892,25515,1,96011
1779448500,5066.892,5067.396,5060.344,5062.359,16641,1,65132
1779449400,5062.359,5066.389,5057.322,5065.885,18348,1,95386
1779450300,5065.885,5071.929,5063.366,5070.922,16108,1,73907
1779451200,5071.426,5073.441,5062.863,5068.907,22464,1,96438
1779452100,5068.907,5071.929,5066.892,5067.396,8691,1,35113
1779453000,5067.396,5070.418,5065.885,5066.892,6915,1,21696
1779453900,5066.389,5070.418,5064.374,5068.403,9883,1,43367
1779454800,5068.403,5075.455,5066.389,5069.915,15116,1,64709
1779455700,5070.418,5075.959,5068.907,5068.907,11349,1,42304
1779456600,5069.411,5071.929,5066.892,5069.915,7862,1,26347
1779457500,5070.418,5070.418,5065.381,5065.381,6813,1,27902
1779458400,5065.381,5067.9,5062.359,5063.366,9134,1,40354
1779459300,5063.366,5064.374,5056.314,5057.825,18121,1,61993
1779460200,5057.825,5062.863,5056.314,5060.848,12414,1,49453
1779461100,5060.848,5064.374,5059.84,5062.863,6894,1,28570
1779462000,5062.863,5066.389,5060.848,5064.374,7848,1,32683
1779462900,5064.374,5065.381,5061.351,5064.374,5964,1,23133
1779463800,5064.374,5066.892,5061.351,5063.366,6276,1,26886
1779464700,5063.87,5065.381,5063.366,5064.877,4464,1,18459
1779465600,5064.877,5070.922,5063.87,5067.396,11982,1,46662
1779466500,5067.396,5067.9,5064.374,5067.9,5031,1,18373
1779467400,5067.396,5070.418,5066.892,5068.907,7310,1,28146
1779468300,5069.411,5072.937,5068.403,5072.433,7302,1,26331
1779469200,5072.433,5072.433,5066.389,5066.892,7950,1,32830
1779470100,5066.892,5067.9,5064.877,5067.396,3303,1,14681
1779471000,5067.9,5075.959,5067.396,5075.959,5076,1,22957
1779471900,5075.959,5081.5,5073.944,5080.996,5626,1,20014
1779472800,5080.996,5085.026,5078.478,5082.004,3154,1,14632
1779473700,5082.508,5089.56,5081.5,5089.056,2833,1,15309
1779699600,5059.84,5059.84,5038.684,5046.744,33109,1,129628
1779700500,5047.247,5051.277,5039.692,5039.692,23213,1,88421
1779701400,5039.692,5042.714,5038.18,5039.692,13960,1,53070
1779702300,5039.692,5048.758,5037.173,5047.247,22582,1,84952
1779703200,5047.751,5050.773,5044.225,5049.262,17757,1,93497
1779704100,5049.766,5054.299,5047.751,5052.284,10360,1,40816
1779705000,5052.788,5053.796,5047.247,5049.766,12059,1,51041
1779705900,5049.766,5057.322,5049.766,5055.307,15754,1,64787
1779706800,5054.803,5058.329,5053.292,5055.81,10688,1,63398
1779707700,5055.81,5057.322,5053.796,5055.307,6441,1,35446
1779708600,5054.803,5056.818,5053.292,5053.292,5753,1,23542
1779709500,5053.292,5056.314,5051.277,5053.796,9392,1,35985
1779710400,5054.299,5054.803,5047.247,5049.262,12972,1,67873
1779711300,5049.262,5051.781,5048.255,5051.781,5408,1,24607
1779712200,5051.781,5052.284,5048.255,5049.262,3372,1,12475
1779713100,5049.262,5050.773,5046.24,5049.766,7786,1,28200
1779714000,5049.766,5053.796,5049.262,5051.781,7270,1,49080
1779714900,5051.781,5053.796,5051.781,5052.788,2211,1,9613
1779715800,5053.292,5057.322,5052.284,5054.299,6803,1,31061
1779716700,5054.299,5054.803,5051.277,5053.292,3877,1,20550
1779717600,5052.788,5053.796,5047.247,5047.247,5690,1,33911
1779718500,5047.247,5050.27,5047.247,5048.758,3394,1,17140
1779719400,5048.758,5051.277,5048.758,5050.773,2785,1,13556
1779720300,5051.277,5053.796,5050.773,5053.292,3941,1,25864
1779721200,5053.292,5059.337,5053.292,5057.825,8571,1,46801
1779722100,5058.329,5060.848,5057.322,5060.344,5897,1,30646
1779723000,5060.344,5062.863,5059.84,5061.855,6234,1,28095
1779723900,5061.351,5063.366,5057.825,5058.833,7041,1,33491
1779724800,5058.833,5062.359,5058.329,5061.855,4314,1,21904
1779725700,5061.855,5062.359,5058.833,5059.84,3689,1,17918
1779726600,5059.84,5064.877,5059.337,5063.87,5689,1,27009
1779727500,5063.366,5064.374,5062.359,5062.863,2556,1,10370
1779728400,5062.863,5063.366,5060.344,5062.359,4463,1,21502
1779729300,5061.855,5064.374,5061.855,5062.863,1818,1,11563
1779730200,5062.359,5062.863,5058.833,5059.84,3484,1,19751
1779731100,5059.337,5061.351,5058.833,5060.344,1642,1,6086
1779732000,5060.344,5063.366,5055.81,5056.818,2948,1,17016
1779732900,5056.314,5056.818,5051.781,5053.796,2607,1,11889
1779786000,5064.374,5069.411,5060.344,5061.855,25093,1,92456
1779786900,5061.855,5062.863,5055.81,5057.825,19458,1,78649
1779787800,5057.825,5060.848,5053.292,5055.307,16442,1,63507
1779788700,5054.803,5057.322,5045.232,5045.232,25145,1,108356
1779789600,5045.736,5059.337,5045.232,5058.329,32995,1,148297
1779790500,5057.825,5058.833,5050.773,5057.825,25416,1,113827
1779791400,5057.825,5059.337,5054.299,5058.833,18843,1,84426
1779792300,5058.833,5080.493,5057.322,5067.9,51241,1,218580
1779793200,5067.9,5072.433,5061.351,5061.351,24754,1,107055
1779794100,5061.351,5063.366,5058.833,5059.84,16144,1,75424
1779795000,5060.344,5065.381,5056.818,5057.825,23220,1,107799
1779795900,5057.825,5064.374,5057.322,5063.366,13406,1,55449
1779796800,5063.366,5068.403,5062.359,5065.885,15477,1,82340
1779797700,5065.885,5076.967,5065.381,5071.426,21054,1,101364
1779798600,5071.426,5077.974,5069.915,5071.929,14173,1,65828
1779799500,5071.929,5072.937,5069.411,5071.929,6655,1,24245
1779800400,5071.426,5072.433,5067.9,5071.426,7909,1,47335
1779801300,5071.426,5071.929,5069.411,5071.426,4468,1,19522
1779802200,5070.922,5072.433,5067.9,5072.433,6311,1,26495
1779803100,5072.433,5074.448,5070.418,5070.922,5140,1,20305
1779804000,5070.922,5072.937,5069.915,5071.929,3995,1,19644
1779804900,5071.426,5072.937,5068.403,5072.433,6329,1,29592
1779805800,5072.433,5072.937,5064.374,5066.389,9222,1,42680
1779806700,5066.389,5067.396,5064.877,5066.892,5418,1,24224
1779807600,5067.396,5069.915,5065.381,5066.389,7719,1,54177
1779808500,5066.389,5069.411,5065.885,5066.892,5975,1,25544
1779809400,5066.892,5070.418,5065.885,5069.411,5168,1,17000
1779810300,5069.411,5073.944,5068.907,5072.937,7689,1,31829
1779811200,5072.937,5073.944,5070.418,5072.937,4720,1,23439
1779812100,5072.937,5074.952,5071.929,5073.441,4583,1,20609
1779813000,5073.441,5074.448,5069.411,5069.915,6780,1,26809
1779813900,5069.915,5070.922,5068.907,5069.411,4562,1,18379
1779814800,5069.411,5071.929,5066.892,5070.922,6839,1,33042
1779815700,5070.922,5073.441,5069.915,5072.937,3282,1,16008
1779816600,5072.433,5076.463,5072.433,5075.959,4517,1,28148
1779817500,5076.463,5078.478,5074.448,5076.463,3183,1,16751
1779818400,5076.463,5078.478,5076.463,5077.47,1624,1,7548
1779819300,5077.974,5079.485,5075.959,5075.959,2185,1,9301
1779872400,5076.463,5091.071,5070.922,5087.545,38789,1,154595
1779873300,5087.545,5092.582,5071.929,5074.952,62393,1,261254
1779874200,5074.952,5088.552,5071.426,5087.545,32392,1,135162
1779875100,5088.048,5094.093,5084.522,5092.582,22675,1,86831
1779876000,5092.582,5095.1,5089.56,5093.086,22356,1,95052
1779876900,5093.086,5102.152,5092.078,5097.115,31089,1,123676
1779877800,5097.115,5097.619,5086.537,5094.597,32947,1,142634
1779878700,5095.1,5097.619,5092.078,5097.115,18236,1,75479
1779879600,5096.612,5106.182,5096.108,5105.175,32059,1,148215
1779880500,5105.679,5111.723,5104.671,5105.175,32488,1,140164
1779881400,5105.679,5108.197,5100.641,5101.649,25972,1,106763
1779882300,5101.145,5107.19,5095.1,5106.182,26823,1,121159
1779883200,5106.182,5107.693,5095.604,5096.612,22791,1,110281
1779884100,5096.108,5100.641,5093.086,5093.589,13280,1,49856
1779885000,5093.086,5102.656,5092.078,5102.152,17631,1,73033
1779885900,5102.152,5105.175,5099.634,5102.152,12546,1,45826
1779886800,5102.152,5104.671,5100.138,5100.641,11583,1,45084
1779887700,5100.138,5103.664,5099.13,5103.16,7247,1,27559
1779888600,5103.16,5103.664,5099.13,5099.13,6429,1,24639
1779889500,5099.13,5101.649,5098.123,5101.649,8296,1,38260
1779890400,5101.649,5109.205,5100.641,5106.182,12983,1,53953
1779891300,5106.686,5106.686,5104.167,5105.175,7833,1,28952
1779892200,5105.175,5105.175,5100.641,5101.145,8170,1,30987
1779893100,5100.641,5102.152,5097.115,5101.649,8494,1,29776
1779894000,5101.145,5103.664,5100.138,5100.641,7308,1,27193
1779894900,5101.145,5101.145,5097.619,5097.619,7506,1,34948
1779895800,5097.619,5100.138,5096.108,5099.13,6578,1,36644
1779896700,5099.13,5100.641,5098.123,5100.138,9685,1,31275
1779897600,5100.138,5100.138,5096.108,5098.626,5721,1,23976
1779898500,5098.123,5101.649,5097.115,5099.634,5908,1,29760
1779899400,5099.13,5100.138,5096.612,5099.634,5793,1,29419
1779900300,5099.634,5102.656,5098.626,5101.649,6423,1,23379
1779901200,5101.145,5102.152,5098.626,5099.13,4664,1,22948
1779902100,5098.626,5100.138,5097.619,5100.138,2430,1,14880
1779903000,5100.138,5100.138,5097.115,5097.619,2318,1,12105
1779903900,5097.115,5101.649,5096.612,5100.138,3484,1,16112
1779904800,5099.634,5103.16,5099.13,5100.641,2592,1,11928
1779905700,5100.641,5102.656,5098.626,5101.145,2921,1,13143
1779958800,5108.197,5115.249,5105.175,5111.723,30330,1,124462
1779959700,5112.227,5114.745,5108.701,5110.212,16501,1,60635
1779960600,5109.708,5111.219,5100.641,5102.656,26929,1,95203
1779961500,5102.656,5103.16,5094.093,5103.16,24100,1,92472
1779962400,5102.656,5103.664,5091.574,5095.1,29338,1,121428
1779963300,5095.1,5096.108,5090.063,5094.093,20636,1,78218
1779964200,5094.093,5104.671,5093.589,5101.145,31162,1,104505
1779965100,5100.641,5102.656,5096.108,5101.649,25130,1,89048
1779966000,5101.145,5104.167,5075.959,5083.011,42835,1,163684
1779966900,5083.011,5091.071,5080.493,5090.567,28133,1,110033
1779967800,5090.063,5091.574,5082.508,5084.522,19995,1,61178
1779968700,5084.019,5090.567,5079.485,5085.53,24793,1,86130
1779969600,5085.026,5086.034,5080.493,5082.004,17394,1,86670
1779970500,5082.004,5084.019,5080.493,5083.011,9558,1,39729
1779971400,5083.011,5086.034,5080.996,5083.011,8533,1,31985
1779972300,5082.508,5089.056,5082.508,5087.545,9857,1,39211
1779973200,5087.545,5088.552,5079.989,5081.5,13752,1,64859
1779974100,5081.5,5082.004,5077.47,5079.485,9972,1,30813
1779975000,5079.485,5082.004,5078.981,5080.493,6106,1,18169
1779975900,5080.493,5081.5,5073.441,5073.944,10937,1,42562
1779976800,5073.944,5074.448,5070.418,5070.418,11938,1,51801
1779977700,5070.418,5071.929,5067.9,5068.907,11730,1,61224
1779978600,5068.907,5068.907,5063.366,5065.381,13834,1,62104
1779979500,5065.381,5069.915,5063.87,5065.885,12260,1,54460
1779980400,5065.885,5069.411,5063.87,5067.9,7924,1,30514
1779981300,5068.403,5069.411,5062.359,5067.9,13910,1,84791
1779982200,5067.396,5073.441,5067.396,5071.929,10004,1,37067
1779983100,5071.929,5073.944,5067.396,5068.907,11326,1,46025
1779984000,5068.907,5071.426,5066.892,5071.426,7564,1,33398
1779984900,5071.426,5071.426,5068.403,5069.411,3862,1,15244
1779985800,5069.411,5069.915,5067.9,5068.907,3657,1,17474
1779986700,5069.411,5072.433,5068.907,5071.929,5163,1,23246
1779987600,5071.426,5076.967,5069.915,5076.463,8642,1,43058
1779988500,5076.967,5079.485,5073.441,5076.967,5625,1,30217
1779989400,5076.967,5083.011,5076.967,5079.485,5851,1,33453
1779990300,5079.989,5080.996,5077.47,5078.981,3058,1,13991
1779991200,5078.981,5078.981,5072.433,5077.47,2505,1,9528
1779992100,5077.47,5084.019,5073.944,5081.5,2986,1,13352
1780045200,5073.5,5089.0,5071.5,5083.0,32164,1,110953
1780046100,5083.0,5083.5,5073.0,5073.5,19656,1,65275
1780047000,5073.5,5081.5,5072.5,5080.5,19997,1,77801
1780047900,5080.5,5092.5,5080.5,5092.0,31266,1,120046
1780048800,5092.0,5094.5,5087.5,5092.0,25492,1,108977
1780049700,5091.5,5093.0,5084.0,5084.0,16214,1,61565
1780050600,5084.0,5093.0,5084.0,5087.0,19975,1,81766
1780051500,5086.5,5097.0,5086.0,5096.5,20358,1,81191
1780052400,5096.5,5097.5,5089.0,5094.5,28447,1,128459
1780053300,5095.0,5103.0,5093.5,5100.0,22635,1,94722
1780054200,5100.5,5107.0,5098.0,5104.5,25441,1,111580
1780055100,5104.5,5107.5,5089.0,5098.0,48535,1,244030
1780056000,5098.0,5098.0,5090.0,5092.5,24517,1,125872
1780056900,5092.0,5100.0,5091.5,5098.5,15634,1,60536
1780057800,5099.0,5100.0,5092.5,5098.0,14993,1,65031
1780058700,5098.0,5098.5,5092.5,5095.5,8023,1,27871
1780059600,5095.5,5097.0,5094.0,5095.0,6954,1,38954
1780060500,5095.5,5095.5,5090.5,5094.0,6126,1,27391
1780061400,5093.5,5095.0,5085.0,5087.0,13967,1,63178
1780062300,5086.5,5090.5,5086.5,5088.0,5591,1,23158
1780063200,5088.0,5088.5,5076.5,5079.0,16306,1,95281
1780064100,5079.0,5080.5,5070.5,5080.0,19870,1,103311
1780065000,5080.0,5082.5,5076.5,5081.5,8637,1,33929
1780065900,5082.0,5085.5,5081.5,5085.5,6268,1,24678
1780066800,5085.5,5086.5,5079.0,5081.0,8717,1,43752
1780067700,5081.0,5084.0,5079.5,5083.5,5791,1,30651
1780068600,5083.5,5083.5,5079.5,5081.5,5413,1,22709
1780069500,5081.5,5083.5,5076.0,5080.0,11583,1,53435
1780070400,5080.0,5081.0,5077.0,5079.5,7013,1,30335
1780071300,5079.5,5083.0,5077.5,5081.0,6561,1,36150
1780072200,5081.0,5084.5,5080.5,5083.5,5190,1,23215
1780073100,5084.0,5086.0,5080.5,5081.5,8974,1,42676
1780074000,5081.5,5082.0,5071.5,5071.5,10247,1,57339
1780074900,5071.5,5074.0,5068.5,5071.0,8162,1,53154
1780075800,5071.5,5073.0,5066.5,5072.0,5171,1,26622
1780076700,5072.5,5074.5,5069.0,5073.5,3807,1,20699
1780077600,5073.5,5076.0,5068.0,5074.0,2928,1,12102
1780078500,5074.0,5075.5,5072.0,5073.5,2146,1,7225
1780304400,5069.0,5076.0,5057.0,5065.5,38067,1,136394
1780305300,5066.0,5067.0,5061.0,5065.0,22289,1,88817
1780306200,5064.5,5068.0,5057.0,5059.0,24001,1,87518
1780307100,5059.0,5061.0,5053.0,5059.0,23534,1,86853
1780308000,5059.5,5078.5,5054.5,5069.0,46118,1,168457
1780308900,5069.0,5077.5,5065.5,5073.5,36145,1,126216
1780309800,5074.0,5078.0,5070.5,5076.0,28827,1,101422
1780310700,5076.0,5080.5,5071.0,5078.0,26812,1,108079
1780311600,5078.0,5081.5,5072.0,5073.0,26254,1,103540
1780312500,5073.5,5079.5,5071.0,5072.0,20416,1,71803
1780313400,5072.5,5073.5,5061.5,5066.0,24049,1,100798
1780314300,5065.5,5067.5,5060.0,5060.0,15594,1,59911
1780315200,5060.0,5063.5,5058.5,5063.5,16894,1,73237
1780316100,5063.0,5068.0,5061.0,5065.0,16462,1,83287
1780317000,5065.5,5067.0,5059.0,5063.5,17423,1,65279
1780317900,5064.0,5069.0,5063.0,5068.5,8833,1,44156
