Data Entrada;Data Saída;Ativo;Direção;Volume;Timeframe;Estratégia;Preço Entrada;Preço Saída;Motivo Saída;PnL Bruto;Taxas;Swap;PnL Líquido;Day Trade
2026-06-09 11:14:38;2026-06-09 11:17:02;WINQ26;SELL;1.0;M5;VWAP;174395.0;174400.0;SL_SERVIDOR;-1,00;1,20;0,00;-2,20;Sim
2026-06-09 12:08:19;2026-06-09 12:08:57;WINQ26;SELL;1.0;M15;VWAP;173920.0;173935.0;SL_SERVIDOR;-3,00;1,20;0,00;-4,20;Sim
2026-06-09 12:09:34;2026-06-09 12:10:11;WINQ26;SELL;1.0;M15;VWAP;173860.0;173960.0;SL_SERVIDOR;-20,00;1,20;0,00;-21,20;Sim
2026-06-09 12:10:47;2026-06-09 12:11:25;WINQ26;SELL;1.0;M15;VWAP;173925.0;173920.0;SL_SERVIDOR;1,00;1,20;0,00;-0,20;Sim
2026-06-09 12:12:02;2026-06-09 12:12:41;WINQ26;SELL;1.0;M15;VWAP;173875.0;173850.0;SL_SERVIDOR;5,00;1,20;0,00;3,80;Sim
2026-06-09 12:13:21;2026-06-09 12:14:00;WINQ26;SELL;1.0;M15;VWAP;173845.0;173965.0;SL_SERVIDOR;-24,00;1,20;0,00;-25,20;Sim
2026-06-09 12:14:37;2026-06-09 12:15:14;WINQ26;SELL;1.0;M15;VWAP;173890.0;173955.0;SL_SERVIDOR;-13,00;1,20;0,00;-14,20;Sim
2026-06-09 12:30:09;2026-06-09 12:30:48;WINQ26;SELL;1.0;M15;VWAP;173140.0;173180.0;SL_SERVIDOR;-8,00;1,20;0,00;-9,20;Sim
2026-06-09 12:31:28;2026-06-09 12:32:07;WINQ26;SELL;1.0;M15;VWAP;173150.0;173150.0;SL_SERVIDOR;0,00;1,20;0,00;-1,20;Sim
2026-06-09 12:32:47;2026-06-09 12:33:26;WINQ26;SELL;1.0;M15;VWAP;173150.0;173185.0;SL_SERVIDOR;-7,00;1,20;0,00;-8,20;Sim
2026-06-09 12:34:05;2026-06-09 12:34:45;WINQ26;SELL;1.0;M15;VWAP;173175.0;173180.0;SL_SERVIDOR;-1,00;1,20;0,00;-2,20;Sim
2026-06-09 12:35:27;2026-06-09 12:36:09;WINQ26;SELL;1.0;M15;VWAP;173150.0;173190.0;SL_SERVIDOR;-8,00;1,20;0,00;-9,20;Sim
2026-06-09 12:36:51;2026-06-09 12:37:33;WINQ26;SELL;1.0;M15;VWAP;173090.0;173035.0;SL_SERVIDOR;11,00;1,20;0,00;9,80;Sim
2026-06-09 12:38:15;2026-06-09 12:38:57;WINQ26;SELL;1.0;M15;VWAP;172965.0;173070.0;SL_SERVIDOR;-21,00;1,20;0,00;-22,20;Sim
2026-06-09 13:00:28;2026-06-09 13:01:08;WINQ26;SELL;1.0;M5;VWAP;173075.0;173145.0;SL_SERVIDOR;-14,00;1,20;0,00;-15,20;Sim
2026-06-09 13:01:48;2026-06-09 13:02:35;WINQ26;SELL;1.0;M5;VWAP;173110.0;173300.0;SL_SERVIDOR;-38,00;1,20;0,00;-39,20;Sim
2026-06-09 13:03:15;2026-06-09 13:03:58;WINQ26;SELL;1.0;M5;VWAP;173175.0;173300.0;SL_SERVIDOR;-25,00;1,20;0,00;-26,20;Sim
2026-06-09 13:04:41;2026-06-09 13:05:24;WINQ26;SELL;1.0;M5;VWAP;173190.0;173220.0;SL_SERVIDOR;-6,00;1,20;0,00;-7,20;Sim
2026-06-09 12:39:37;2026-06-09 13:08:30;WINQ26;SELL;1.0;M15;VWAP;173215.0;173215.0;EOD_16:45;0,00;1,20;0,00;-1,20;Sim
2026-06-09 13:08:56;2026-06-09 13:25:52;WINQ26;SELL;1.0;M15;VWAP;173140.0;173415.0;SL_SERVIDOR;-55,00;1,20;0,00;-56,20;Sim
